iso_code,continent,location,date,total_cases,total_cases_per_million,total_deaths,total_deaths_per_million,icu_patients_per_million,hosp_patients_per_million,total_tests_per_thousand,total_vaccinations_per_hundred,people_vaccinated_per_hundred,human_development_index,stringency_index,gdp_per_capita
ECU,South America,Ecuador,2023-02-15,1056578.0,58695.51,36008.0,2000.333,,,161.295,219.24,85.15,0.759,14.81,10581.936
EGY,Africa,Egypt,2023-02-15,515698.0,4646.342,24809.0,223.524,,,109.415,91.98,48.69,0.707,10.29,10550.206
SLV,North America,El Salvador,2023-02-15,201785.0,31845.405,4230.0,667.572,,,304.335,178.16,73.43,0.673,26.85,7292.458
GNQ,Africa,Equatorial Guinea,2023-02-15,17214.0,10277.53,183.0,109.259,,,296.46,29.18,16.13,0.592,,22604.873
ERI,Africa,Eritrea,2023-02-15,10189.0,2765.713,103.0,27.958,,,6.544,,,0.459,,1510.459
EST,Europe,Estonia,2023-02-15,614548.0,463437.662,2926.0,2206.53,3.016,110.1,2577.757,159.02,65.54,0.892,11.11,29481.252
SWZ,Africa,Eswatini,2023-02-15,74158.0,61711.937,1423.0,1184.175,,,461.016,68.94,42.24,0.611,11.11,7738.975
ETH,Africa,Ethiopia,2023-02-15,499823.0,4051.088,7572.0,61.371,,,41.774,43.37,35.49,0.485,22.22,1729.927
FRO,Europe,Faeroe Islands,2023-02-15,34658.0,652484.139,28.0,527.138,,,14707.401,195.59,78.53,,11.11,
FLK,South America,Falkland Islands,2023-02-15,1930.0,507761.115,,,,,,115.94,69.24,,,
FJI,Oceania,Fiji,2023-02-15,68864.0,74065.709,883.0,949.698,,,604.059,167.0,76.56,0.743,25.74,8702.975
FIN,Europe,Finland,2023-02-15,1460857.0,263657.144,8821.0,1592.024,3.068,167.847,1994.022,238.07,81.66,0.938,18.52,40585.721
FRA,Europe,France,2023-02-15,39614530.0,584173.094,164726.0,2429.121,11.089,192.854,4126.754,227.46,80.6,0.901,11.11,38605.671
PYF,Oceania,French Polynesia,2023-02-15,77957.0,254518.564,649.0,2118.893,,,,164.01,62.33,,,
GAB,Africa,Gabon,2023-02-15,48981.0,20502.747,306.0,128.087,,,683.374,23.97,13.02,0.703,5.56,16562.413
GMB,Africa,Gambia,2023-02-15,12586.0,4651.154,372.0,137.473,,,58.974,53.38,34.55,0.496,11.11,1561.767
GEO,Asia,Georgia,2023-02-15,1822045.0,486607.28,16950.0,4526.778,,,3632.937,78.27,44.19,0.812,5.56,9745.079
DEU,Europe,Germany,2023-02-15,37970357.0,455444.763,167124.0,2004.61,9.308,,1574.021,230.37,77.81,0.947,14.81,45229.245
GHA,Africa,Ghana,2023-02-15,171152.0,5112.698,1462.0,43.673,,,75.084,66.87,38.4,0.611,33.38,4227.63
GIB,Europe,Gibraltar,2023-02-15,20414.0,624720.752,111.0,3396.885,,,16322.865,406.43,129.07,,,
GRC,Europe,Greece,2023-02-15,5548487.0,534280.401,34779.0,3348.974,,,8088.12,212.85,76.4,0.888,11.11,24574.382
GRL,North America,Greenland,2023-02-15,11971.0,211898.609,21.0,371.721,,,,141.14,72.98,,11.11,
GRD,North America,Grenada,2023-02-15,19680.0,156863.995,238.0,1897.034,,,1357.796,72.14,35.21,0.779,29.38,13593.877
GUM,Oceania,Guam,2022-06-18,,,,,,,1897.076,,,,,
GTM,North America,Guatemala,2023-02-15,1232685.0,69081.537,20153.0,1129.405,,,231.012,112.98,49.87,0.663,36.57,7423.808
GGY,Europe,Guernsey,2022-12-19,,,,,,,,281.9,85.62,,,
GIN,Africa,Guinea,2023-02-15,38267.0,2761.096,467.0,33.696,,,52.351,63.13,43.92,0.477,25.45,1998.926
GNB,Africa,Guinea-Bissau,2023-02-15,8953.0,4252.035,176.0,83.587,,,69.368,31.97,30.41,0.48,,1548.675
GUY,South America,Guyana,2023-02-15,73052.0,90329.617,1298.0,1604.992,,,550.228,117.92,61.01,0.682,18.52,7435.047
HTI,North America,Haiti,2023-02-15,34076.0,2941.389,860.0,74.234,,,18.047,4.45,3.51,0.51,31.48,1653.173
HND,North America,Honduras,2023-02-15,471224.0,45167.297,11107.0,1064.617,,,,163.91,62.26,0.634,23.15,4541.795
HKG,Asia,Hong Kong,2023-02-15,2876106.0,384051.09,13431.0,1793.463,,,6594.993,275.92,92.31,0.949,11.11,56054.92
HUN,Europe,Hungary,2023-02-15,2194102.0,220129.937,48738.0,4889.788,,150.392,1127.081,167.56,64.42,0.854,0.0,26777.561
ISL,Europe,Iceland,2023-02-15,208921.0,560255.616,211.0,565.831,2.682,53.633,3709.574,216.0,83.07,0.949,5.56,46482.958
IND,Asia,India,2023-02-15,44685727.0,31531.594,530757.0,374.518,,,609.938,155.68,72.49,0.645,28.7,6426.674
IDN,Asia,Indonesia,2023-02-15,6733478.0,24440.817,160878.0,583.946,,,217.363,161.27,73.92,0.718,14.93,11188.744
IRN,Asia,Iran,2023-02-15,7566043.0,85443.19,144789.0,1635.1,,,594.485,175.05,73.57,0.783,53.94,19082.62
IRQ,Asia,Iraq,2023-02-15,2465545.0,55410.332,25375.0,570.274,,,436.507,43.95,25.47,0.674,16.67,15663.986
IRL,Europe,Ireland,2023-02-15,1702523.0,338938.163,8629.0,1717.861,4.579,32.45,2476.135,221.16,81.77,0.955,11.11,67335.293
IMN,Europe,Isle of Man,2023-02-15,38008.0,449617.905,116.0,1372.229,,,,224.75,82.29,,,
ISR,Asia,Israel,2023-02-15,4792601.0,507207.218,12244.0,1295.798,2.857,34.818,5573.137,197.27,71.14,0.919,14.81,33132.32
ITA,Europe,Italy,2023-02-15,25519067.0,432252.028,187551.0,3176.813,2.761,61.351,3795.998,243.49,86.18,0.892,21.99,35220.084
JAM,North America,Jamaica,2023-02-15,154065.0,54490.338,3500.0,1237.894,,,397.603,53.5,29.97,0.734,16.67,8193.571
JPN,Asia,Japan,2023-02-15,33041758.0,266569.632,71144.0,573.966,6.995,159.304,429.37,307.46,84.43,0.919,33.33,39002.223
JEY,Europe,Jersey,2023-01-29,,,,,,,,240.94,76.14,,,
JOR,Asia,Jordan,2023-02-15,1746997.0,154794.998,14122.0,1251.299,,,1507.249,89.12,42.72,0.729,0.0,8337.49
KAZ,Asia,Kazakhstan,2023-02-15,1497449.0,77196.059,19067.0,982.936,,,623.295,107.84,55.98,0.825,5.56,24055.588
KEN,Africa,Kenya,2023-02-15,342874.0,6346.288,5688.0,105.28,,,70.335,43.15,26.47,0.601,22.77,2993.028
KIR,Oceania,Kiribati,2023-02-15,5012.0,38190.449,18.0,137.156,,,,164.12,75.9,0.63,0.0,1981.132
KWT,Asia,Kuwait,2023-02-15,662858.0,155276.576,2570.0,602.031,,,1931.449,193.46,80.96,0.806,11.11,65530.537
KGZ,Asia,Kyrgyzstan,2023-02-15,206611.0,31160.128,2991.0,451.089,,,,51.6,24.87,0.697,11.11,3393.474
LAO,Asia,Laos,2023-02-15,218006.0,28953.671,758.0,100.671,,,138.751,147.57,78.21,0.613,28.61,6397.36
LVA,Europe,Latvia,2023-02-15,975716.0,527227.672,6247.0,3375.563,2.161,158.863,3876.137,156.47,72.74,0.866,0.0,25063.846
LBN,Asia,Lebanon,2023-02-15,1230463.0,224138.503,10808.0,1968.762,,,846.002,105.92,49.92,0.744,16.67,13367.565
LSO,Africa,Lesotho,2023-02-15,34790.0,15087.869,723.0,313.554,,,201.508,56.79,43.58,0.527,11.11,2851.153
LBR,Africa,Liberia,2023-02-15,8065.0,1520.926,294.0,55.444,,,26.923,84.12,73.62,0.48,29.46,752.788
LBY,Africa,Libya,2023-02-15,507170.0,74448.677,6437.0,944.902,,,,54.89,34.0,0.724,13.89,17881.509
LIE,Europe,Liechtenstein,2023-02-15,21387.0,543437.937,89.0,2261.466,,,2321.576,188.76,68.01,0.919,11.11,
LTU,Europe,Lithuania,2023-02-15,1300959.0,473066.023,9560.0,3476.29,,47.272,3128.553,165.23,71.16,0.882,11.11,29524.265
LUX,Europe,Luxembourg,2023-02-15,315590.0,487321.669,1214.0,1874.611,0.0,12.353,6725.731,212.16,74.42,0.916,11.11,94277.965
MAC,Asia,Macao,2023-02-15,3510.0,5049.052,121.0,174.056,,,,258.38,97.63,,36.11,104861.851
MDG,Africa,Madagascar,2023-02-15,67849.0,2291.289,1421.0,47.988,,,15.623,8.7,7.57,0.528,0.0,1416.44
MWI,Africa,Malawi,2023-02-15,88640.0,4343.966,2686.0,131.632,,,29.628,33.91,24.26,0.483,40.74,1095.042
MYS,Asia,Malaysia,2023-02-15,5040087.0,148507.718,36954.0,1088.861,0.236,3.212,1806.391,213.8,82.88,0.81,13.89,26808.164
MDV,Asia,Maldives,2023-02-15,185723.0,354569.891,311.0,593.74,,,4240.251,181.66,76.22,0.74,,15183.616
MLI,Africa,Mali,2023-02-15,32854.0,1454.129,743.0,32.885,,,32.326,21.05,15.57,0.434,23.69,2014.306
MLT,Europe,Malta,2023-02-15,117248.0,219856.627,826.0,1548.867,0.0,144.386,3703.589,258.75,89.76,0.895,11.11,36513.323
MHL,Oceania,Marshall Islands,2023-02-15,15590.0,374822.687,17.0,408.723,,,75.719,,,0.704,,3819.202
MRT,Africa,Mauritania,2023-02-15,63667.0,13442.787,997.0,210.509,,,216.286,85.86,44.34,0.546,8.33,3597.633
MUS,Africa,Mauritius,2023-02-15,295161.0,227138.128,1044.0,803.4,,,987.58,201.14,86.48,0.804,5.56,20292.745
MEX,North America,Mexico,2023-02-15,7414918.0,58154.34,332695.0,2609.288,,,122.879,176.51,77.7,0.779,17.59,17336.469
FSM,Oceania,Micronesia (country),2023-02-15,23671.0,207316.646,60.0,525.495,,,,,,0.62,,3299.464
MDA,Europe,Moldova,2023-02-15,600916.0,183598.315,11964.0,3655.37,,,,69.62,33.81,0.75,5.56,5189.972
MCO,Europe,Monaco,2023-02-15,16104.0,441314.297,67.0,1836.069,,,,178.51,79.13,,11.11,
MNG,Asia,Mongolia,2023-02-15,1007890.0,296580.158,2136.0,628.536,,,2213.041,161.63,66.88,0.737,11.11,11840.846
MNE,Europe,Montenegro,2023-02-15,287161.0,457932.136,2799.0,4463.531,,,,108.31,46.69,0.829,,16409.288
MSR,North America,Montserrat,2023-02-15,1403.0,317924.315,8.0,1812.826,,,,104.67,47.68,,,
MAR,Africa,Morocco,2023-02-15,1272353.0,33967.479,16296.0,435.048,,,316.606,147.84,66.79,0.686,24.46,7485.013
MOZ,Africa,Mozambique,2023-02-15,232819.0,7061.644,2237.0,67.851,,,41.83,89.35,56.54,0.456,12.04,1136.103
MMR,Asia,Myanmar,2023-02-15,633875.0,11699.576,19490.0,359.731,,,154.876,119.14,64.19,0.583,37.04,5591.597
NAM,Africa,Namibia,2023-02-15,171059.0,66637.086,4090.0,1593.285,,,417.384,38.06,31.85,0.646,5.56,9541.808
NRU,Oceania,Nauru,2023-02-15,5121.0,403514.301,1.0,78.796,,,,198.35,90.79,,,12895.635
NPL,Asia,Nepal,2023-02-15,1001121.0,32772.508,12020.0,393.484,,,232.031,199.61,90.74,0.602,21.59,2442.804
NLD,Europe,Netherlands,2023-02-15,8598796.0,489568.789,23081.0,1314.107,0.911,21.294,1753.393,205.56,72.74,0.944,11.11,48472.545
NCL,Oceania,New Caledonia,2023-02-15,80007.0,275925.217,314.0,1082.912,,,,165.39,66.31,,,
NZL,Oceania,New Zealand,2023-02-15,2200328.0,424340.476,2513.0,484.64,,,1416.09,230.99,82.94,0.931,11.11,36085.843
NIC,North America,Nicaragua,2023-02-15,15627.0,2249.009,245.0,35.26,,,28.666,175.99,89.46,0.66,13.89,5321.444
NER,Africa,Niger,2023-02-15,9508.0,362.79,315.0,12.019,,,10.08,27.63,23.37,0.394,10.55,926.0
NGA,Africa,Nigeria,2023-02-15,266463.0,1219.28,3155.0,14.437,,,24.74,51.24,36.26,0.539,11.11,5338.454
NIU,Oceania,Niue,2022-10-18,,,,,,,,252.05,83.81,,,
PRK,Asia,North Korea,2023-02-15,1.0,0.038,6.0,0.23,,,7.045,,,,,
MKD,Europe,North Macedonia,2023-02-15,346733.0,165615.211,9653.0,4610.705,,,986.118,88.97,40.81,0.774,,13111.214
MNP,Oceania,Northern Mariana Islands,2021-12-04,,,,,,,1194.6,,,,,
NOR,Europe,Norway,2023-02-15,1478489.0,272064.934,5152.0,948.048,,85.935,2064.505,223.5,79.99,0.957,11.11,64800.057
OMN,Asia,Oman,2023-02-15,399449.0,87286.454,4628.0,1011.297,,,449.439,154.84,71.18,0.813,11.11,37960.709
PAK,Asia,Pakistan,2023-02-15,1576603.0,6685.482,30641.0,129.931,,,124.846,141.42,68.79,0.557,40.54,5034.708
PLW,Oceania,Palau,2023-02-15,5988.0,331121.433,9.0,497.678,,,3308.2,,,0.826,,13240.405
PSE,Asia,Palestine,2023-02-15,703228.0,133946.251,5708.0,1087.222,,,,71.4,38.34,0.708,0.0,4449.898
PAN,North America,Panama,2023-02-15,1030658.0,233784.469,8600.0,1950.741,,,1493.643,198.63,79.99,0.815,20.37,22267.037
PNG,Oceania,Papua New Guinea,2023-02-15,46792.0,4613.401,670.0,66.058,,,25.042,7.05,3.66,0.555,5.56,3823.194
PRY,South America,Paraguay,2023-02-15,806790.0,118982.501,19843.0,2926.375,,,389.304,141.12,58.78,0.728,11.11,8827.01
PER,South America,Peru,2023-02-15,4484029.0,131691.138,219293.0,6440.401,,,859.283,255.84,88.93,0.777,11.11,12236.706
PHL,Asia,Philippines,2023-02-15,4075049.0,35263.794,65985.0,571.007,,,250.025,147.32,67.87,0.718,25.41,7599.188
PCN,Oceania,Pitcairn,2022-08-29,,,,,,,,248.94,100.0,,,
POL,Europe,Poland,2023-02-15,6394131.0,160426.221,118800.0,2980.645,,77.427,964.881,145.26,57.38,0.88,9.26,27216.445
PRT,Europe,Portugal,2023-02-15,5566314.0,541952.244,26103.0,2541.463,3.31,55.594,4161.808,273.48,95.21,0.864,11.11,27936.896
PRI,North America,Puerto Rico,2022-06-18,,,,,,,927.239,,,,,35044.67
QAT,Asia,Qatar,2023-02-15,493198.0,182995.929,686.0,254.533,,,2817.619,282.21,105.8,0.848,11.11,116935.6
ROU,Europe,Romania,2023-02-15,3331005.0,169436.861,67650.0,3441.125,5.036,47.56,1099.946,85.6,41.64,0.828,11.11,23313.199
RUS,Europe,Russia,2023-02-15,21796612.0,150619.26,387689.0,2679.014,,,2034.729,128.23,61.03,0.824,11.11,24765.954
RWA,Africa,Rwanda,2023-02-15,133170.0,9666.319,1468.0,106.557,,,411.155,189.5,76.75,0.543,25.64,1854.211
SHN,Africa,Saint Helena,2023-02-15,2166.0,401036.845,,,,,,146.12,80.74,,,
KNA,North America,Saint Kitts and Nevis,2023-02-15,6596.0,138336.025,46.0,964.745,,,1983.784,134.85,70.88,0.779,,24654.385
LCA,North America,Saint Lucia,2023-02-15,29882.0,166129.247,409.0,2273.839,,,1160.911,68.37,33.43,0.759,,12951.839
SPM,North America,Saint Pierre and Miquelon,2023-02-15,3452.0,586576.041,2.0,339.847,,,,,,,,
VCT,North America,Saint Vincent and the Grenadines,2023-02-15,9589.0,92238.286,123.0,1183.159,,,1038.876,70.58,36.07,0.738,,10727.146
WSM,Oceania,Samoa,2023-02-15,16402.0,73753.316,29.0,130.402,,,,203.48,86.01,0.715,,6021.557
SMR,Europe,San Marino,2023-02-15,23494.0,697358.267,122.0,3621.253,,,,205.81,78.23,,11.11,56861.47
STP,Africa,Sao Tome and Principe,2023-02-15,6280.0,27617.385,77.0,338.621,,,21.039,100.39,56.1,0.625,,3052.714
SAU,Asia,Saudi Arabia,2023-02-15,828729.0,22761.762,9596.0,263.562,,,1203.085,187.18,74.03,0.854,11.11,49045.411
SEN,Africa,Senegal,2023-02-15,88910.0,5134.424,1971.0,113.822,,,65.303,16.89,12.53,0.512,19.44,2470.58
SRB,Europe,Serbia,2023-02-15,2482090.0,361212.693,17749.0,2582.97,3.784,36.818,1433.869,124.2,48.81,0.806,5.56,14048.881
SYC,Africa,Seychelles,2023-02-15,50665.0,472908.013,172.0,1605.451,,,,205.37,80.11,0.796,13.89,26382.287
SLE,Africa,Sierra Leone,2023-02-15,7760.0,901.726,126.0,14.641,,,50.889,76.15,53.1,0.452,37.96,1390.3
SGP,Asia,Singapore,2023-02-15,2222006.0,394180.828,1722.0,305.48,,,,261.27,91.55,0.938,17.59,85535.383
SXM,North America,Sint Maarten (Dutch part),2023-02-10,,,,,,,,151.77,67.41,,,36327.232
SVK,Europe,Slovakia,2023-02-15,2662918.0,471859.526,20989.0,3719.176,1.949,43.945,9405.66,101.96,46.0,0.86,11.11,30155.152
SVN,Europe,Slovenia,2023-02-15,1324603.0,624859.011,7065.0,3332.794,3.774,16.511,2517.858,141.36,59.71,0.917,11.11,31400.84
SLB,Oceania,Solomon Islands,2023-02-15,24575.0,33930.623,153.0,211.247,,,,86.43,47.47,0.567,30.46,2205.923
SOM,Africa,Somalia,2023-02-15,27324.0,1552.72,1361.0,77.34,,,29.37,49.59,43.93,,5.56,
ZAF,Africa,South Africa,2023-02-15,4059348.0,67775.668,102595.0,1712.946,1.803,17.281,431.667,63.53,40.02,0.709,11.11,12294.876
KOR,Asia,South Korea,2023-02-15,30397220.0,586639.892,33804.0,652.388,4.728,9.843,1934.578,250.21,86.55,0.916,11.11,35938.374
SSD,Africa,South Sudan,2023-02-15,18368.0,1683.104,138.0,12.645,,,38.172,21.5,21.03,0.433,10.55,1569.888
ESP,Europe,Spain,2023-02-15,13748918.0,289094.06,118976.0,2501.67,2.544,37.154,1961.848,221.57,86.93,0.904,11.11,34272.36
LKA,Asia,Sri Lanka,2023-02-15,672016.0,30781.027,16829.0,770.836,,,353.231,183.75,78.53,0.782,23.15,11669.077
SDN,Africa,Sudan,2023-02-15,63775.0,1360.557,5011.0,106.903,,,12.33,35.87,25.09,0.51,5.56,4466.507
SUR,South America,Suriname,2023-02-15,82227.0,133043.495,1400.0,2265.204,,,137.335,81.82,43.33,0.738,21.3,13767.119
SWE,Europe,Sweden,2023-02-15,2696168.0,255576.719,23563.0,2233.598,0.853,49.292,1758.614,243.11,74.11,0.945,11.11,46949.283
CHE,Europe,Switzerland,2023-02-15,4409828.0,504529.79,14202.0,1624.855,1.373,33.98,2448.135,193.62,69.74,0.955,5.56,57410.166
SYR,Asia,Syria,2023-02-15,57461.0,2597.079,3164.0,143.004,,,8.251,22.47,14.51,0.567,11.11,
TWN,Asia,Taiwan,2023-02-15,9862108.0,412754.554,17258.0,722.292,,,545.749,279.61,91.5,,17.59,
TJK,Asia,Tajikistan,2023-02-15,17786.0,1787.037,125.0,12.559,,,,189.61,53.37,0.668,8.33,2896.913
TZA,Africa,Tanzania,2023-02-15,42775.0,653.076,846.0,12.916,,,7.168,54.96,47.62,0.529,2.78,2683.304
THA,Asia,Thailand,2023-02-15,4727628.0,65938.971,33894.0,472.739,,,345.439,198.94,79.51,0.777,5.56,16277.671
TLS,Asia,Timor,2023-02-15,23418.0,17459.207,138.0,102.885,,,200.493,149.98,65.83,0.606,15.03,6570.102
TGO,Africa,Togo,2023-02-15,39362.0,4448.337,290.0,32.773,,,86.722,38.41,25.36,0.515,30.1,1429.813
TKL,Oceania,Tokelau,2022-12-05,,,,,,,,283.89,116.38,,,
TON,Oceania,Tonga,2023-02-15,16795.0,157157.963,13.0,121.647,,,,194.39,86.04,0.725,16.18,5425.621
TTO,North America,Trinidad and Tobago,2023-02-15,188511.0,123125.869,4336.0,2832.056,,,503.653,103.26,49.22,0.796,11.11,28763.071
TUN,Africa,Tunisia,2023-02-15,1150606.0,93120.362,29326.0,2373.4,,,379.013,107.18,58.41,0.74,31.36,10849.297
TUR,Asia,Turkey,2023-02-15,17042722.0,199700.876,101492.0,1189.249,,,1924.668,178.75,67.89,0.82,11.11,25129.341
TKM,Asia,Turkmenistan,2022-12-04,,,,,,,,128.86,57.97,0.715,,16389.023
TCA,North America,Turks and Caicos Islands,2023-02-15,6551.0,143266.413,38.0,831.037,,,,161.63,71.76,,,
TUV,Oceania,Tuvalu,2023-02-15,2805.0,247463.608,,,,,,225.77,84.72,,,3575.104
UGA,Africa,Uganda,2023-02-15,170464.0,3607.735,3630.0,76.826,,,59.955,55.66,41.25,0.544,38.44,1697.707
UKR,Europe,Ukraine,2023-02-15,5692468.0,143380.805,119138.0,3000.825,,,443.101,79.77,39.73,0.779,13.89,7894.393
ARE,Asia,United Arab Emirates,2023-02-15,1050621.0,111281.182,2348.0,248.699,,,17994.67,263.97,105.83,0.89,13.89,67293.483
GBR,Europe,United Kingdom,2023-02-15,24315983.0,360189.101,217705.0,3224.832,2.592,110.978,7480.121,224.04,79.71,0.932,5.56,39753.244
USA,North America,United States,2023-02-15,102995115.0,304458.183,1115564.0,3297.657,8.874,69.204,2708.533,201.89,81.08,0.926,28.72,54225.446
VIR,North America,United States Virgin Islands,2022-06-19,,,,,,,1149.744,,,,,
URY,South America,Uruguay,2023-02-15,1033766.0,302023.842,7617.0,2225.374,,,1776.525,260.96,87.83,0.817,13.89,20551.409
UZB,Asia,Uzbekistan,2023-02-15,250829.0,7243.605,1637.0,47.274,,,,216.52,62.59,0.72,5.56,6253.104
VUT,Oceania,Vanuatu,2023-02-15,12014.0,36768.847,14.0,42.847,,,37.567,89.85,44.32,0.609,11.11,2921.909
